index,city
1,Prayagraj
2,Varanasi
3,Delhi
4,Mumbai
5,Indore
6,Delhi
7,Prayagraj
8,Varanasi
9,Mumbai
10,Indore
11,Delhi
12,Prayagraj
13,Indore
14,Mumbai
15,Varanasi
16,Prayagraj
17,Delhi
18,Varanasi
19,Indore
20,Mumbai
21,Prayagraj
22,Delhi
23,Varanasi
24,Indore
25,Mumbai
26,Prayagraj
27,Indore
28,Varanasi
29,Delhi
30,Mumbai
31,Indore
32,Prayagraj
33,Varanasi
34,Delhi
35,Mumbai
36,Indore
37,Varanasi
38,Delhi
39,Prayagraj
40,Mumbai
41,Indore
42,Delhi
43,Prayagraj
44,Varanasi
45,Mumbai
46,Delhi
47,Prayagraj
48,Indore
49,Varanasi
50,Mumbai
